,year,size_acres
543,2005,0.1
544,2005,0.1
545,2005,0.25
546,2005,0.1
547,2005,0.1
548,2005,0.1
549,2005,0.25
550,2005,0.1
551,2005,0.1
552,2005,1.5
553,2005,0.1
554,2005,0.1
555,2005,20.0
556,2005,0.1
557,2005,2.5
558,2005,0.1
559,2005,0.5
560,2005,0.1
561,2005,0.25
562,2005,0.1
563,2005,2.5
564,2005,0.1
565,2005,0.1
566,2005,0.75
567,2005,0.1
568,2005,0.25
569,2005,0.1
570,2005,0.1
571,2005,1.0
572,2005,0.5
573,2005,0.1
574,2005,0.1
575,2005,0.1
576,2005,0.1
577,2005,0.1
578,2005,0.1
579,2005,0.5
580,2005,0.25
581,2005,15.0
582,2005,0.1
583,2005,0.1
584,2005,80.0
585,2005,0.3
586,2005,0.1
587,2005,1.0
588,2005,0.1
589,2005,0.5
590,2005,0.25
591,2005,0.1
592,2005,0.1
593,2005,0.1
594,2005,0.1
595,2005,0.1
596,2005,0.25
597,2005,0.5
598,2005,0.1
599,2005,0.5
600,2005,0.1
601,2005,0.1
602,2005,0.1
603,2005,22.0
604,2005,0.1
605,2005,0.25
606,2005,0.5
607,2005,1.2
608,2005,0.1
609,2005,0.1
610,2005,1.0
611,2005,0.2
612,2005,0.1
613,2005,230.0
614,2005,0.1
615,2005,0.1
616,2005,0.1
617,2005,0.1
618,2005,1.0
619,2005,3.0
620,2005,28.2
621,2005,0.2
622,2005,1.0
623,2005,0.1
624,2005,0.1
625,2005,0.1
626,2005,0.1
627,2005,1.0
628,2005,0.1
629,2005,0.1
630,2005,0.1
631,2005,0.1
632,2005,1.0
633,2005,0.1
634,2005,0.01
635,2005,0.1
636,2005,0.1
637,2005,0.01
638,2005,0.1
639,2005,0.01
640,2005,0.1
641,2005,0.25
642,2005,3.0
643,2005,0.1
644,2005,0.1
645,2005,0.01
646,2005,0.3
647,2005,1.0
648,2005,2.0
649,2005,5.0
650,2005,5.0
651,2005,0.1
652,2005,0.1
653,2005,0.25
654,2005,0.1
655,2005,0.25
656,2005,0.1
657,2005,0.25
658,2005,0.1
659,2005,0.2
660,2005,0.1
661,2005,0.1
662,2005,0.25
663,2005,15.0
664,2005,0.1
665,2005,0.25
666,2005,0.1
667,2005,0.1
668,2005,0.1
669,2005,0.1
670,2005,0.25
671,2005,0.1
672,2005,3225.0
673,2005,0.2
674,2005,0.1
675,2005,0.1
676,2005,0.1
677,2005,0.1
678,2005,1.5
679,2005,0.1
680,2005,0.1
681,2005,0.1
682,2005,0.1
683,2005,0.1
684,2005,0.1
685,2005,0.1
686,2005,0.1
687,2005,0.1
688,2005,0.1
689,2005,0.1
690,2005,0.1
691,2005,8.0
692,2005,0.1
693,2005,0.3
694,2005,0.1
695,2005,30.0
696,2005,0.1
697,2005,0.1
698,2005,0.1
699,2005,0.1
700,2005,0.25
701,2005,0.1
702,2005,0.1
703,2005,0.1
704,2005,0.1
705,2005,0.1
706,2005,0.3
