,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed,DayPlayed,DayOfWeek
94,Hold On Loosely,.38 Special,KRFX,KRFX1146,2014-06-18 01:58:17,2014-06-18,Wednesday
95,Hold On Loosely,.38 Special,KZEP,KZEP0107,2014-06-22 12:58:39,2014-06-22,Sunday
96,Hold On Loosely,.38 Special,KZEP,KZEP0276,2014-06-21 20:58:40,2014-06-21,Saturday
97,Hold On Loosely,.38 Special,KZEP,KZEP0543,2014-06-20 17:58:35,2014-06-20,Friday
98,Hold On Loosely,.38 Special,KZEP,KZEP0857,2014-06-19 07:58:42,2014-06-19,Thursday
99,Hold On Loosely,.38 Special,KZEP,KZEP1160,2014-06-18 01:58:27,2014-06-18,Wednesday
100,Hold On Loosely,.38 Special,KZEP,KZEP1395,2014-06-16 16:58:50,2014-06-16,Monday
101,Hold On Loosely,.38 Special,KZOK,KZOK0413,2014-06-19 23:54:46,2014-06-19,Thursday
102,Hold On Loosely,.38 Special,KZOK,KZOK0809,2014-06-16 23:54:34,2014-06-16,Monday
103,Hold On Loosely,.38 Special,KZPS,KZPS0012,2014-06-22 22:58:22,2014-06-22,Sunday
104,Hold On Loosely,.38 Special,KZPS,KZPS0328,2014-06-21 16:58:08,2014-06-21,Saturday
105,Hold On Loosely,.38 Special,KZPS,KZPS0624,2014-06-20 12:58:17,2014-06-20,Friday
106,Hold On Loosely,.38 Special,KZPS,KZPS1157,2014-06-18 10:58:26,2014-06-18,Wednesday
107,Hold On Loosely,.38 Special,KZPS,KZPS1587,2014-06-16 07:58:24,2014-06-16,Monday
108,Hold On Loosely,.38 Special,WAXQ,WAXQ0045,2014-06-22 15:58:11,2014-06-22,Sunday
109,Hold On Loosely,.38 Special,WAXQ,WAXQ0443,2014-06-20 22:58:06,2014-06-20,Friday
110,Hold On Loosely,.38 Special,WAXQ,WAXQ1095,2014-06-18 07:58:05,2014-06-18,Wednesday
111,Hold On Loosely,.38 Special,WAXQ,WAXQ1384,2014-06-16 19:58:15,2014-06-16,Monday
112,Hold On Loosely,.38 Special,WBGG,WBGG0053,2014-06-22 19:58:19,2014-06-22,Sunday
113,Hold On Loosely,.38 Special,WBGG,WBGG0408,2014-06-21 09:58:25,2014-06-21,Saturday
114,Hold On Loosely,.38 Special,WBGG,WBGG0597,2014-06-20 16:58:25,2014-06-20,Friday
115,Hold On Loosely,.38 Special,WBGG,WBGG0983,2014-06-18 22:58:13,2014-06-18,Wednesday
116,Hold On Loosely,.38 Special,WBGG,WBGG1048,2014-06-18 15:58:20,2014-06-18,Wednesday
117,Hold On Loosely,.38 Special,WBGG,WBGG1429,2014-06-16 13:58:38,2014-06-16,Monday
118,Hold On Loosely,.38 Special,WBGG,WBGG1546,2014-06-16 00:58:22,2014-06-16,Monday
119,Hold On Loosely,.38 Special,WBIG,WBIG0273,2014-06-21 19:58:30,2014-06-21,Saturday
120,Hold On Loosely,.38 Special,WBIG,WBIG1143,2014-06-18 07:58:12,2014-06-18,Wednesday
121,Hold On Loosely,.38 Special,WCSX,WCSX0234,2014-06-22 23:54:16,2014-06-22,Sunday
122,Hold On Loosely,.38 Special,WCSX,WCSX0394,2014-06-21 23:54:03,2014-06-21,Saturday
123,Hold On Loosely,.38 Special,WCSX,WCSX0533,2014-06-20 23:54:06,2014-06-20,Friday
124,Hold On Loosely,.38 Special,WCSX,WCSX0735,2014-06-20 23:54:07,2014-06-20,Friday
125,Hold On Loosely,.38 Special,WCSX,WCSX1096,2014-06-18 23:54:03,2014-06-18,Wednesday
126,Hold On Loosely,.38 Special,WCSX,WCSX1310,2014-06-18 23:54:03,2014-06-18,Wednesday
127,Hold On Loosely,.38 Special,WCSX,WCSX1486,2014-06-17 23:54:06,2014-06-17,Tuesday
128,Hold On Loosely,.38 Special,WCSX,WCSX1668,2014-06-16 23:54:14,2014-06-16,Monday
129,Hold On Loosely,.38 Special,WMGK,WMGK0008,2014-06-22 23:54:20,2014-06-22,Sunday
130,Hold On Loosely,.38 Special,WMGK,WMGK0517,2014-06-20 23:54:11,2014-06-20,Friday
131,Hold On Loosely,.38 Special,WMGK,WMGK1052,2014-06-18 23:54:08,2014-06-18,Wednesday
132,Hold On Loosely,.38 Special,WNCX,WNCX0388,2014-06-20 23:54:22,2014-06-20,Friday
133,Hold On Loosely,.38 Special,WNCX,WNCX0470,2014-06-19 23:54:40,2014-06-19,Thursday
134,Hold On Loosely,.38 Special,WNCX,WNCX0928,2014-06-17 23:54:22,2014-06-17,Tuesday
135,Hold On Loosely,.38 Special,WNCX,WNCX1256,2014-06-16 23:54:31,2014-06-16,Monday
136,Hold On Loosely,.38 Special,WRFX,WRFX0455,2014-06-20 16:58:35,2014-06-20,Friday
137,Hold On Loosely,.38 Special,WRFX,WRFX1288,2014-06-16 15:58:21,2014-06-16,Monday
138,Hold On Loosely,.38 Special,WXGL,WXGL1635,2014-06-16 14:58:36,2014-06-16,Monday
139,Hold On Loosely,.38 Special,KCFX,KCFX0048,2014-06-22 16:59:04,2014-06-22,Sunday
140,Hold On Loosely,.38 Special,KCFX,KCFX0822,2014-06-19 05:59:18,2014-06-19,Thursday
141,Hold On Loosely,.38 Special,KCFX,KCFX0961,2014-06-18 14:59:10,2014-06-18,Wednesday
142,Hold On Loosely,.38 Special,KCFX,KCFX1150,2014-06-17 09:59:23,2014-06-17,Tuesday
143,Hold On Loosely,.38 Special,KLOS,KLOS0177,2014-06-21 22:59:32,2014-06-21,Saturday
144,Hold On Loosely,.38 Special,KLOS,KLOS0474,2014-06-20 16:59:12,2014-06-20,Friday
145,Hold On Loosely,.38 Special,KLOS,KLOS0653,2014-06-19 19:59:20,2014-06-19,Thursday
146,Hold On Loosely,.38 Special,KLOS,KLOS0990,2014-06-18 03:59:09,2014-06-18,Wednesday
147,Hold On Loosely,.38 Special,KSEG,KSEG0366,2014-06-21 15:59:11,2014-06-21,Saturday
148,Hold On Loosely,.38 Special,KSEG,KSEG1486,2014-06-17 04:59:04,2014-06-17,Tuesday
149,Hold On Loosely,.38 Special,KSLX,KSLX0273,2014-06-18 22:59:29,2014-06-18,Wednesday
