,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed
162,Hold On Loosely,.38 Special,WOFX,WOFX0196,1970-01-01 00:00:01.403405956
163,Hold On Loosely,.38 Special,WOFX,WOFX0539,1970-01-01 00:00:01.403276343
164,Hold On Loosely,.38 Special,WOFX,WOFX0887,1970-01-01 00:00:01.403128731
165,Hold On Loosely,.38 Special,WOFX,WOFX1037,1970-01-01 00:00:01.403056729
166,Hold On Loosely,.38 Special,KSHE,KSHE0337,1970-01-01 00:00:01.403344773
167,Hold On Loosely,.38 Special,KSHE,KSHE0609,1970-01-01 00:00:01.403243984
168,Hold On Loosely,.38 Special,KSHE,KSHE0967,1970-01-01 00:00:01.403107170
169,Hold On Loosely,.38 Special,KSHE,KSHE1239,1970-01-01 00:00:01.402966769
170,Rockin' Into the Night,.38 Special,KSHE,KSHE0654,1970-01-01 00:00:01.403225997
171,Rockin' Into the Night,.38 Special,WBGG,WBGG1338,1970-01-01 00:00:01.402959510
172,Rockin' Into the Night,.38 Special,WNCX,WNCX0002,1970-01-01 00:00:01.403481271
173,Rockin' Into the Night,.38 Special,WNCX,WNCX0221,1970-01-01 00:00:01.403394859
174,Rockin' Into the Night,.38 Special,WNCX,WNCX0685,1970-01-01 00:00:01.403135658
175,Rockin' Into the Night,.38 Special,WRFX,WRFX0443,1970-01-01 00:00:01.403290707
176,Rockin' Into the Night,.38 Special,WRFX,WRFX0747,1970-01-01 00:00:01.403175508
177,Rockin' Into the Night,.38 Special,WRFX,WRFX1081,1970-01-01 00:00:01.403049502
178,Rockin' Into the Night,.38 Special,WXGL,WXGL0980,1970-01-01 00:00:01.403171929
179,Rockin' Into the Night,.38 Special,KCFX,KCFX0004,1970-01-01 00:00:01.403470753
180,Rockin' Into the Night,.38 Special,KCFX,KCFX0778,1970-01-01 00:00:01.403175543
181,Rockin' Into the Night,.38 Special,KCFX,KCFX1172,1970-01-01 00:00:01.402984764
182,Rockin' Into the Night,.38 Special,KCFX,KCFX1281,1970-01-01 00:00:01.402945165
