SongName,ArtistName,CALLSIGN,TIME,UNIQUE_ID
Rockin' Into the Night,.38 Special,WXGL,1403171929,WXGL0980
Rockin' Into the Night,.38 Special,KCFX,1403470753,KCFX0004
Rockin' Into the Night,.38 Special,KCFX,1403175543,KCFX0778
Rockin' Into the Night,.38 Special,KCFX,1402984764,KCFX1172
Rockin' Into the Night,.38 Special,KCFX,1402945165,KCFX1281
Rockin' Into the Night,.38 Special,KUFX,1402934347,KUFX1563
Rockin' Into the Night,.38 Special,WOFX,1403467135,WOFX0055
Rockin' Into the Night,.38 Special,WOFX,1403229533,WOFX0637
Rockin' Into the Night,.38 Special,WOFX,1403049530,WOFX1060
Rockin' Into the Night,.38 Special,WOFX,1402894754,WOFX1329
Art For Arts Sake,10cc,KSHE,1403434764,KSHE0090
Kryptonite,3 Doors Down,KLOS,1403236742,KLOS0572
Kryptonite,3 Doors Down,KLOS,1403099952,KLOS0916
Kryptonite,3 Doors Down,KSHE,1403395189,KSHE0199
Kryptonite,3 Doors Down,KSHE,1403254778,KSHE0580
Kryptonite,3 Doors Down,KSHE,1403114364,KSHE0950
Kryptonite,3 Doors Down,KUFX,1403441970,KUFX0122
Kryptonite,3 Doors Down,KUFX,1403323169,KUFX0480
Kryptonite,3 Doors Down,KUFX,1403276363,KUFX0619
Kryptonite,3 Doors Down,KUFX,1402945178,KUFX1533
Kryptonite,3 Doors Down,KUFX,1402891170,KUFX1701
Kryptonite,3 Doors Down,WDVE,1403449115,WDVE0072
Kryptonite,3 Doors Down,WDVE,1403107107,WDVE0875
Kryptonite,3 Doors Down,WDVE,1402963107,WDVE1157
Loser,3 Doors Down,KSHE,1402887584,KSHE1445
When I'm Gone,3 Doors Down,KSHE,1403344773,KSHE0338
When I'm Gone,3 Doors Down,KSHE,1403121569,KSHE0929
When I'm Gone,3 Doors Down,KUFX,1403341168,KUFX0414
When I'm Gone,3 Doors Down,KUFX,1403233153,KUFX0754
When I'm Gone,3 Doors Down,KUFX,1403157570,KUFX0976
When I'm Gone,3 Doors Down,KUFX,1403114348,KUFX1081
What's Up?,4 Non Blondes,KUFX,1403377172,KUFX0307
What's Up?,4 Non Blondes,KUFX,1403081949,KUFX1173
What's Up?,4 Non Blondes,KUFX,1402887569,KUFX1718
Take On Me,a-ha,KUFX,1403049554,KUFX1285
"Baby, Please Don't Go",AC/DC,KRFX,1402970578,KRFX1299
Back In Black,AC/DC,KCFX,1403391568,KCFX0217
Back In Black,AC/DC,KCFX,1403085561,KCFX1003
Back In Black,AC/DC,KCFX,1402891159,KCFX1410
Back In Black,AC/DC,KGB,1403344721,KGB0416
Back In Black,AC/DC,KGB,1403272728,KGB0615
Back In Black,AC/DC,KGLK,1403423926,KGLK0187
Back In Black,AC/DC,KGLK,1403369919,KGLK0351
Back In Black,AC/DC,KGLK,1403236718,KGLK0752
Back In Black,AC/DC,KGLK,1402932487,KGLK1567
Back In Black,AC/DC,KGON,1403351939,KGON0292
Back In Black,AC/DC,KGON,1403193554,KGON0774
Back In Black,AC/DC,KGON,1403143145,KGON0929
