"","county","state","trumptwoparty","median_house_inc","median_age","pct_female","pct_white","pct_black","pct_hispanic","pct_evangelical","unemployment","pct_manufacturing","pct_uninsured","pct_male_married","pct_female_married","pct_no_hs","pct_hs","pct_some_coll","pct_ba","pct_grad","pct_vet","pct_foreign_born","logtotalvotes"
"1591","Lincoln County, New Mexico","NM",71.666461,40.708,50.400002,0.50300002,0.63999999,0.0060000001,0.31200001,0.154,0.072999999,0.014,0.134,0.52600002,0.51899999,0.117,0.266,0.333,0.19499999,0.089000002,0.13500001,0.071000002,9.0940313
"1592","Los Alamos County, New Mexico","NM",37.652731,101.934,43.5,0.48800001,0.73900002,0.0049999999,0.162,0.153,0.035,0.015,0.057999998,0.68800002,0.62099999,0.029999999,0.108,0.219,0.249,0.39300001,0.114,0.103,9.2951412
"1593","Luna County, New Mexico","NM",52.120483,27.476,39,0.50199997,0.33000001,0.0099999998,0.64099997,0.056000002,0.138,0.071000002,0.19599999,0.523,0.41999999,0.31299999,0.31600001,0.25,0.068999998,0.052000001,0.104,0.17,8.8949442
"1594","McKinley County, New Mexico","NM",27.323341,28.772,30.799999,0.51800001,0.098999999,0.0080000004,0.139,0.057999998,0.155,0.063000001,0.31600001,0.35600001,0.31600001,0.264,0.331,0.294,0.067000002,0.044,0.059,0.023,9.9852057
"1595","Mora County, New Mexico","NM",30.213538,23.822,42.599998,0.52200001,0.175,0.001,0.824,0.066,0.054000001,0.001,0.192,0.384,0.435,0.164,0.35600001,0.34099999,0.068000004,0.071000002,0.093999997,0.003,7.8001633
"1596","Otero County, New Mexico","NM",65.996671,39.775,35.599998,0.48899999,0.51099998,0.035,0.361,0.093000002,0.127,0.022,0.15800001,0.479,0.50400001,0.17,0.29499999,0.37099999,0.090000004,0.074000001,0.183,0.122,9.9064331
"1597","Quay County, New Mexico","NM",68.504179,29.113,45.700001,0.51499999,0.51499999,0.022,0.44,0.29899999,0.050000001,0.037,0.113,0.44499999,0.454,0.16,0.38800001,0.296,0.090999998,0.064000003,0.117,0.027000001,8.1808805
"1598","Rio Arriba County, New Mexico","NM",27.283755,36.098,40.099998,0.509,0.131,0.0040000002,0.71499997,0.048,0.114,0.015,0.2,0.42699999,0.41100001,0.185,0.31799999,0.33000001,0.106,0.061000001,0.079000004,0.057,9.6076393
"1599","Roosevelt County, New Mexico","NM",72.761333,35.546,29.4,0.49399999,0.542,0.022,0.40099999,0.208,0.097000003,0.043000001,0.16500001,0.46700001,0.43599999,0.199,0.25299999,0.31799999,0.12800001,0.103,0.071999997,0.097000003,8.6911469
"1600","Sandoval County, New Mexico","NM",48.319405,58.982,39.099998,0.509,0.45500001,0.018999999,0.36899999,0.044,0.092,0.082000002,0.125,0.514,0.48100001,0.094999999,0.259,0.361,0.16599999,0.119,0.139,0.055,11.029877
"1601","San Juan County, New Mexico","NM",68.476635,48.671,34.200001,0.50400001,0.41,0.0049999999,0.19599999,0.1,0.092,0.039999999,0.21799999,0.484,0.449,0.178,0.32100001,0.34900001,0.090999998,0.061000001,0.086000003,0.037,10.738785
"1602","San Miguel County, New Mexico","NM",24.09877,29.237,42.5,0.50400001,0.19,0.013,0.76899999,0.050000001,0.064000003,0.011,0.17399999,0.33199999,0.32699999,0.183,0.28400001,0.33199999,0.105,0.094999999,0.098999999,0.037999999,9.2827539
"1603","Santa Fe County, New Mexico","NM",22.00691,54.315,44.400002,0.51300001,0.43200001,0.0060000001,0.51099998,0.035999998,0.079000004,0.028999999,0.178,0.50300002,0.44999999,0.123,0.214,0.26100001,0.204,0.197,0.086999997,0.133,11.176529
"1604","Sierra County, New Mexico","NM",65.123326,29.356,55.599998,0.49900001,0.66900003,0.0049999999,0.29100001,0.111,0.068000004,0.017999999,0.145,0.47400001,0.484,0.169,0.33700001,0.31799999,0.123,0.052999999,0.189,0.043000001,8.5527534
"1605","Socorro County, New Mexico","NM",44.122112,34.037,36.799999,0.479,0.391,0.0070000002,0.491,0.055,0.072999999,0.027000001,0.153,0.29300001,0.278,0.23199999,0.33399999,0.259,0.106,0.07,0.071000002,0.045000002,8.8346281
