,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
12,Illinois,845481,9597260,0.088096081589954,186,1010,0.184158415841584,,0.0,,0.0,3.0,,,15.0,,,21.0,,,38.0,,,40.0,,69.0,21.9993116344424,9.41522860666386
13,Indiana,513266,4728420,0.108549155954843,108,824,0.131067961165049,107.0,0.990740740740741,1.0,0.009259259259259,,1.0,,,8.0,,,13.0,,,28.0,,,57.0,,21.0417210569179,16.9863307485326
14,Iowa,253158,2265619,0.111738999363971,63,334,0.188622754491018,,0.0,,0.0,,,,,,,,,,,,,,,,24.8856445381935,13.4660994672692
15,Kansas,234507,2053186,0.114216149925043,94,379,0.24802110817942,93.0,0.98936170212766,1.0,0.01063829787234,1.0,,,10.0,,,20.0,,,14.0,,,15.0,,34.0,40.0840913064429,15.6707148430262
16,Kentucky,340830,3192332,0.106765211137187,34,622,0.054662379421222,,0.0,,0.0,,,,,,,,,,,,,,,,9.97564768359593,20.6207114706565
17,Louisiana,324880,3183547,0.102049694884354,81,492,0.164634146341463,,0.0,,0.0,,9.0,,,7.0,,,7.0,,,20.0,,,38.0,,24.9322826889929,14.3773304130911
18,Maine,142205,1035232,0.137365344193379,43,158,0.272151898734177,,0.0,,0.0,,,,,,,,,,,,,,,,30.238036637249,12.8775501748547
19,Maryland,475371,4230839,0.112358565286932,91,495,0.183838383838384,,0.0,,0.0,4.0,,,7.0,,,5.0,,,13.0,,,21.0,,41.0,19.1429430907649,10.7576472492909
20,Massachusetts,453873,4983228,0.091080119151682,30,450,0.066666666666667,30.0,1.0,0.0,0.0,0.0,,,0.0,,,0.0,,,3.0,,,13.0,,14.0,6.60977850632225,9.27284348433717
21,Michigan,765929,7613279,0.100604351948746,258,1139,0.226514486391572,250.0,0.968992248062016,8.0,0.031007751937984,3.0,,,12.0,,,40.0,,,56.0,,,59.0,,88.0,33.6845843413685,12.8662913389852
22,Minnesota,410003,3905954,0.104968722109887,113,554,0.203971119133574,107.0,0.946902654867257,6.0,0.053097345132743,2.0,,,8.0,,,15.0,,,23.0,,,16.0,,49.0,27.5607739455565,12.6145932823429
23,Mississippi,212612,2140412,0.09933227808478,65,325,0.2,63.0,0.969230769230769,2.0,0.030769230769231,0.0,,,1.0,,,6.0,,,8.0,,,16.0,,34.0,30.5721219874701,13.4868762319743
24,Missouri***,526916,4403875,0.119648264312679,180,799,0.225281602002503,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,34.1610427468515,15.9661219012117
25,Montana,102845,722684,0.142309778547747,54,189,0.285714285714286,54.0,1.0,0.0,0.0,2.0,,,,,8.0,,,,,,20.0,,,24.0,52.5061986484516,21.779849283443
26,Nebraska,151844,1316899,0.11530421087722,5,202,0.024752475247525,,0.0,,0.0,,,,,,,,,,,,,,,,3.29285319143331,16.9090729622207
27,Nevada,236901,1852592,0.127875430747839,107,486,0.220164609053498,,0.0,,0.0,3.0,,,2.0,,,7.0,,,20.0,,,30.0,,48.0,45.1665463632488,23.4574556644804
28,New Hampshire,130690,1015927,0.128641132679809,33,151,0.218543046357616,31.0,0.93939393939394,2.0,0.060606060606061,,,,,,,,,,,,,,,,25.2505930063509,13.3297636678087
29,New Jersey,527080,6628089,0.079522166947366,93,585,0.158974358974359,92.0,0.989247311827957,1.0,0.010752688172043,2.0,,,6.0,,,13.0,,,10.0,,,21.0,,41.0,17.6443803597177,8.06423986589759
30,New Mexico,176274,1436320,0.122726133452156,76,352,0.215909090909091,74.0,0.973684210526316,2.0,0.026315789473684,2.0,,,4.0,,,6.0,,,11.0,,,17.0,,36.0,43.1146964384992,21.9039622362993
31,New York,1098766,14768694,0.074398318497221,216,1326,0.16289592760181,213.0,0.986111111111111,3.0,0.013888888888889,2.0,,,9.0,,,4.0,,,20.0,,,45.0,,136.0,19.6584168057621,8.12001350702067
32,North Carolina,752508,6625708,0.113573975792474,200,1106,0.180831826401447,194.0,0.97,6.0,0.03,7.0,,,9.0,,,17.0,,,49.0,,,41.0,,77.0,26.5777905351172,15.4260028604509
33,North Dakota**,57536,487103,0.118118755170878,18,90,0.2,18.0,1.0,0.0,0.0,2.0,,,2.0,,,1.0,,,5.0,,,4.0,,4.0,31.2847608453838,16.761064048216
34,Ohio,961616,8696516,0.110574855493855,251,1325,0.189433962264151,246.0,0.9800796812749,5.0,0.0199203187251,6.0,,,16.0,,,29.0,,,32.0,,,58.0,,110.0,26.1018951431757,13.8851181010744
35,Oklahoma,333358,2668872,0.124905952777053,113,537,0.210428305400372,,0.0,,0.0,4.0,,,7.0,,,14.0,,,18.0,,,25.0,,45.0,33.8974915856227,18.1544619300077
36,Oregon,350730,2839640,0.1235121353411,143,579,0.246977547495682,136.0,0.951048951048951,7.0,0.048951048951049,2.0,,,6.0,,,12.0,,,32.0,,,25.0,,59.0,40.772103897585,17.5177085551506
37,Pennsylvania,1073558,9625288,0.11153515614286,309,1396,0.22134670487106,305.0,0.98705501618123,4.0,0.01294498381877,6.0,,,19.0,,,32.0,,,50.0,,,69.0,,133.0,28.7827951540578,12.7108783836721
38,Rhode Island,82129,827561,0.099242231086288,21,90,0.233333333333333,,0.0,,0.0,,,,,,,,,,,,,,,,25.5695308599886,9.25637750995396
39,South Carolina,398128,3252620,0.122402248033893,118,524,0.225190839694656,114.0,0.966101694915254,4.0,0.033898305084746,5.0,,,15.0,,,12.0,,,17.0,,,22.0,,47.0,29.6387091588635,14.22319628151
40,South Dakota,73535,585507,0.125592008293667,26,125,0.208,,0.0,,0.0,,,,,,,,,,,,,,,,35.3573128442238,19.3369949919136
41,Tennessee,502295,4578718,0.109702104388172,150,874,0.17162471395881,147.0,0.98,3.0,0.02,1.0,,,9.0,,,18.0,,,36.0,,,34.0,,52.0,29.8629291551777,17.7606690964112
42,Texas,1660455,16924145,0.098111603274493,454,2347,0.193438432040903,447.0,0.984581497797357,7.0,0.015418502202643,,31.0,,,38.0,,,64.0,,,92.0,,,229.0,,27.3419032735003,12.4019814343714
43,Utah,154774,1753636,0.088258908918384,63,362,0.174033149171271,61.0,0.968253968253968,2.0,0.031746031746032,5.0,,,0.0,,,9.0,,,7.0,,,16.0,,22.0,40.7045110935945,18.7008009446719
44,Vermont,55512,489177,0.113480396666237,16,81,0.197530864197531,16.0,1.0,0.0,0.0,0.0,,,0.0,,,3.0,,,3.0,,,6.0,,4.0,28.8225969159821,14.9885280112529
45,Virginia,771782,5732436,0.134634211354475,178,876,0.203196347031963,172.0,0.966292134831461,6.0,0.033707865168539,5.0,,,5.0,,,19.0,,,39.0,,,33.0,,77.0,23.0635075707907,14.0707253519395
46,Washington,629296,4827071,0.130368084496789,200,809,0.247218788627936,194.0,0.97,6.0,0.03,7.0,,,9.0,,,17.0,,,49.0,,,41.0,,77.0,31.7815463629198,14.5076856191673
47,West Virginia,178121,1426759,0.124843088426286,56,269,0.20817843866171,56.0,1.0,0.0,0.0,0.0,,,3.0,,,3.0,,,13.0,,,13.0,,24.0,31.4393024966175,17.0585870364349
48,Wisconsin,447851,4237883,0.105678000076925,138,670,0.205970149253731,,0.0,,0.0,5.0,,,6.0,,,25.0,,,34.0,,,22.0,,46.0,30.8138197748805,14.0368207972914
49,Wyoming,54263,390268,0.139040351758279,22,116,0.189655172413793,,0.0,,0.0,,,,,,,,,,,,,,,,40.5432799513481,27.9757741700272
