"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2007","Nook Logan","2076","WSN","111","350","325","86","64","18","4","0","39","21","19","1","86","0","1","5","9","23","5","0.264615384","0.054285714","0.245714285","0.220930232","0.264615384","0.304347826","0.344615384","0.648963210","0.080000000","0.358333333","30.5808390546965","-12.7141610663009","0.287809280115505","71.0194002168585","2.142857142","0.185185185","0.555555555","0.259259259","0.035714285","0.000000000","0.125000000","0.310344827","0.3837","0.3837","0.2327","0.2531","0.4816","0.2653"
"2007","Alex Rios","2090","TOR","160","711","643","191","117","43","7","24","114","85","55","3","103","6","7","0","9","17","4","0.297045101","0.077355836","0.144866385","0.533980582","0.297045101","0.354430379","0.497667185","0.852097564","0.200622084","0.319311663","108.80746555998","20.8567653141822","0.366058452991443","122.476167749406","0.813278008","0.201096892","0.358318098","0.440585009","0.066390041","0.099585062","0.076530612","0.000000000","0.3839","0.3711","0.2450","0.1481","0.4717","0.3803"
"2007","Josh Wilson","2102","2 Tms","101","310","282","67","47","15","3","2","28","24","17","0","57","5","3","3","5","6","2","0.237588652","0.054838709","0.183870967","0.298245614","0.237588652","0.289902280","0.333333333","0.623235613","0.095744681","0.287610619","24.623194407852","-13.7238056993172","0.278281509293795","64.6837064413867","0.970297029","0.127192982","0.429824561","0.442982456","0.108910891","0.019801980","0.051020408","0.000000000","0.3636","0.3333","0.3030","0.1991","0.5584","0.2424"
"2007","Josh Willingham","2103","FLA","144","604","521","138","81","32","4","21","75","89","66","1","122","16","1","0","11","8","1","0.264875239","0.109271523","0.201986754","0.540983606","0.264875239","0.364238410","0.462571976","0.826810386","0.197696737","0.308707124","91.0257591674577","16.3109589586507","0.36328232337784","116.58346122246","0.838150289","0.205000000","0.362500000","0.432500000","0.127167630","0.121387283","0.048275862","0.000000000","0.4500","0.3350","0.2150","0.1825","0.4575","0.3600"
"2007","Ryan Church","2106","WSN","143","530","470","128","69","43","1","15","57","70","49","4","107","8","3","0","12","3","2","0.272340425","0.092452830","0.201886792","0.457943925","0.272340425","0.349056603","0.463829787","0.812886390","0.191489362","0.321937321","74.9139651673119","9.35296498408723","0.352130431526061","112.585367278308","1.218750000","0.224043715","0.426229508","0.349726775","0.093750000","0.117187500","0.051282051","0.000000000","0.4809","0.3142","0.2049","0.1831","0.4699","0.3470"
"2007","Ryan Doumit","2113","PIT","83","279","252","69","39","19","2","9","33","32","22","2","59","4","1","0","5","1","2","0.273809523","0.078853046","0.211469534","0.372881355","0.273809523","0.340501792","0.472222222","0.812724014","0.198412699","0.324324324","39.0574060966205","4.54510600016822","0.350513978124956","108.774234977347","1.109589041","0.206185567","0.417525773","0.376288659","0.082191780","0.123287671","0.074074074","0.000000000","0.5412","0.3144","0.1443","0.1856","0.4021","0.4124"
"2007","Ronny Paulino","2129","PIT","128","494","457","120","84","25","0","11","56","55","33","0","79","2","2","0","14","2","2","0.262582056","0.066801619","0.159919028","0.417721518","0.262582056","0.313765182","0.389496717","0.703261899","0.126914661","0.295392953","52.6998086354117","-8.4079915353675","0.3108166068913","83.1207821249237","1.291970802","0.171503957","0.467018469","0.361477572","0.029197080","0.080291970","0.056497175","0.000000000","0.3289","0.3684","0.3026","0.1974","0.5105","0.2921"
"2007","Delmon Young","2140","TBD","162","681","645","186","135","38","0","13","65","93","26","2","127","3","7","0","23","10","3","0.288372093","0.038179148","0.186490455","0.204724409","0.288372093","0.315712187","0.407751937","0.723464124","0.119379844","0.337890625","75.0275525559517","-9.21214767947471","0.314979105266099","89.0339553140622","1.421052631","0.211428571","0.462857142","0.325714285","0.087719298","0.076023391","0.041152263","0.000000000","0.3867","0.3219","0.2914","0.1543","0.5181","0.3276"
"2007","Edwin Encarnacion","2151","CIN","138","560","502","145","103","25","1","16","66","76","39","4","86","14","1","0","5","8","1","0.288844621","0.069642857","0.153571428","0.453488372","0.288844621","0.356115107","0.438247011","0.794362118","0.149402390","0.321695760","77.5180474026837","8.24604720908783","0.348648196221262","103.210220256649","0.872928176","0.187050359","0.378896882","0.434052757","0.149171270","0.088397790","0.063291139","0.000000000","0.4844","0.3429","0.1727","0.2590","0.3933","0.3477"
"2007","Ryan Howard","2154","PHI","143","648","529","142","69","26","0","47","94","136","107","35","199","5","7","0","13","1","0","0.268431001","0.165123456","0.307098765","0.537688442","0.268431001","0.391975308","0.584120982","0.976096290","0.315689981","0.327586206","115.936225816382","35.7786255923635","0.396899648727834","135.361705596402","0.711409395","0.243323442","0.314540059","0.442136498","0.026845637","0.315436241","0.018867924","0.000000000","0.4718","0.3205","0.2077","0.0890","0.3591","0.5519"
"2007","Greg Dobbs","2158","PHI","141","358","324","88","54","20","4","10","45","55","29","4","67","1","4","0","7","3","0","0.271604938","0.081005586","0.187150837","0.432835820","0.271604938","0.329608938","0.450617283","0.780226221","0.179012345","0.310756972","45.1830336784065","0.898433554643411","0.334090722146007","94.7729767535165","0.837606837","0.163424124","0.381322957","0.455252918","0.128205128","0.085470085","0.020408163","0.500000000","0.4215","0.3448","0.2337","0.1877","0.4521","0.3602"
"2007","Jason Kubel","2161","MIN","127","466","418","114","68","31","2","13","49","65","41","2","79","1","5","1","9","5","0","0.272727272","0.087982832","0.169527896","0.518987341","0.272727272","0.335483870","0.449760765","0.785244635","0.177033493","0.305135951","61.111510996281","3.46731083518162","0.339967092479022","106.114497594996","1.214876033","0.220930232","0.427325581","0.351744186","0.024793388","0.107438016","0.034013605","0.000000000","0.3942","0.3884","0.2174","0.1217","0.5478","0.3304"
"2007","Chris Burke","2164","HOU","108","363","319","73","46","19","2","6","39","28","27","1","52","8","1","8","10","9","3","0.228840125","0.074380165","0.143250688","0.519230769","0.228840125","0.304225352","0.357366771","0.661592123","0.128526646","0.255725190","34.0508233326633","-10.8522767928283","0.295472166969278","73.4843047285305","0.838983050","0.168582375","0.379310344","0.452107279","0.211864406","0.050847457","0.060606060","0.200000000","0.4493","0.2971","0.2536","0.2283","0.5471","0.2246"
"2007","Dan Johnson","2167","OAK","116","495","416","98","59","20","1","18","53","62","72","4","77","3","4","0","12","0","0","0.235576923","0.145454545","0.155555555","0.935064935","0.235576923","0.349494949","0.418269230","0.767764179","0.182692307","0.246153846","64.2032576713124","2.97175750018746","0.338254551173713","106.007391120192","1.112781954","0.180758017","0.431486880","0.387755102","0.097744360","0.135338345","0.040540540","0.000000000","0.4985","0.3265","0.1749","0.1720","0.4898","0.3382"
"2007","Brendan Harris","2178","TBD","136","576","521","149","99","35","3","12","72","59","42","1","96","4","1","8","19","4","1","0.285988483","0.072916666","0.166666666","0.437500000","0.285988483","0.343309859","0.433781190","0.777091049","0.147792707","0.330917874","76.0936869871214","4.84248678799425","0.341118908538179","106.521677594275","1.234899328","0.212765957","0.434988179","0.352245862","0.107382550","0.080536912","0.038043478","0.090909090","0.4378","0.3180","0.2442","0.1521","0.5023","0.3456"
"2007","Gabe Gross","2184","MIL","89","210","183","43","22","12","2","7","28","24","25","2","37","1","1","0","1","3","1","0.234972677","0.119047619","0.176190476","0.675675675","0.234972677","0.328571428","0.437158469","0.765729897","0.202185792","0.257142857","26.0869962381367","0.109996165538249","0.331724200684291","96.9903373079218","0.966666666","0.197278911","0.394557823","0.408163265","0.133333333","0.116666666","0.017241379","0.000000000","0.3673","0.3741","0.2585","0.1905","0.4626","0.3469"
"2007","Grady Sizemore","2197","CLE","162","748","628","174","111","34","5","24","118","78","101","9","155","17","2","0","3","33","10","0.277070063","0.135026737","0.207219251","0.651612903","0.277070063","0.390374331","0.461783439","0.852157770","0.184713376","0.332594235","119.094792015712","26.5671917571236","0.373427140777263","128.915600550132","0.703703703","0.206896551","0.327586206","0.465517241","0.050925925","0.111111111","0.046052631","0.636363636","0.4400","0.3116","0.2484","0.1453","0.4295","0.4253"
"2007","Mike Jacobs","2231","FLA","114","460","426","113","67","27","2","17","57","54","31","3","101","2","1","0","12","1","2","0.265258215","0.067391304","0.219565217","0.306930693","0.265258215","0.317391304","0.457746478","0.775137782","0.192488263","0.310679611","57.8290305354942","0.927030376468967","0.333501644937945","97.3384279487374","0.786666666","0.177914110","0.361963190","0.460122699","0.080000000","0.113333333","0.059322033","0.000000000","0.5123","0.3129","0.1748","0.1810","0.4785","0.3405"
"2007","Kelly Johnson","2234","ATL","147","608","521","144","92","26","10","16","91","68","79","3","117","4","2","2","8","9","5","0.276391554","0.129934210","0.192434210","0.675213675","0.276391554","0.374587458","0.456813819","0.831401277","0.180422265","0.328205128","92.2377400558775","17.0281398456877","0.364476321743891","117.729086635809","1.108974358","0.187654320","0.427160493","0.385185185","0.057692307","0.102564102","0.052023121","0.333333333","0.3799","0.3113","0.3088","0.1740","0.4853","0.3407"
