RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2016-17),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 12/1/17
72,Mississippi,SEC,Matt Luke,"$1,160,000","$1,160,000",$0,--,"$4,075,000","$1,430,000"
73,Louisiana-Lafayette,Sun Belt,Mark Hudspeth,"$1,150,000","$1,150,000","$155,000","$25,000","$1,104,480","$1,591,667"
74,Texas-San Antonio,C-USA,Frank Wilson,"$1,137,500","$1,137,500","$185,000","$17,500","$1,147,750","$4,675,000"
75,Utah State,Mt. West,Matt Wells,"$1,050,000","$1,050,000","$730,000","$10,000","$1,452,320","$1,920,833"
76,East Carolina,AAC,Scottie Montgomery,"$1,050,000","$1,050,000","$850,000","$75,000","$1,655,150","$1,633,333"
77,South Florida,AAC,Charlie Strong,"$1,000,000","$1,000,000","$815,000",--,"$1,245,000","$192,308"
78,Connecticut,AAC,Randy Edsall,"$1,000,000","$1,000,000","$650,000",--,"$1,885,000","$2,000,000"
79,North Texas,C-USA,Seth Littrell,"$991,416","$991,416","$580,000","$35,000","$1,335,000","$3,300,000"
80,Florida Atlantic,C-USA,Lane Kiffin,"$950,000","$950,000","$350,000",--,"$1,260,000","$2,850,000"
81,Florida International,C-USA,Butch Davis,"$900,000","$900,000","$550,000",--,"$1,371,050","$4,110,569"
82,San Diego State,Mt. West,Rocky Long,"$826,304","$828,304","$735,000","$198,150","$1,741,708","$374,148"
83,New Mexico,Mt. West,Bob Davie,"$822,690","$823,940","$490,000","$20,000","$1,459,875","$1,725,984"
84,Middle Tennessee,C-USA,Rick Stockstill,"$801,504","$801,504","$126,142","$65,142","$1,188,296","$5,112,070"
85,Troy,Sun Belt,Neal Brown,"$800,000","$800,000","$490,000","$80,000","$1,233,300","$2,894,167"
86,Western Michigan,MAC,Tim Lester,"$800,000","$800,000","$322,000",--,"$1,074,000","$1,000,000"
87,Western Kentucky,C-USA,Mike Sanford Jr.,"$800,000","$800,000","$400,000",--,"$1,200,012","$1,266,667"
88,Rice,C-USA,David Bailiff,"$772,883","$772,883",--,--,--,--
89,Marshall,C-USA,Doc Holliday,"$762,570","$762,570","$145,000","$25,000","$1,216,214","$2,707,208"
90,Arkansas State,Sun Belt,Blake Anderson,"$750,000","$750,000","$185,000","$50,000","$1,241,100","$500,000"
91,Louisiana Tech,C-USA,Skip Holtz,"$700,000","$704,000","$395,000","$50,000","$1,135,000","$3,208,333"
92,Toledo,MAC,Jason Candle,"$700,000","$700,950","$615,000","$57,500","$995,924","$1,985,417"
93,Appalachian State,Sun Belt,Scott Satterfield,"$675,000","$675,000","$270,000","$155,000","$1,144,843","$1,735,417"
94,Texas State,Sun Belt,Everett Withers,"$675,000","$675,000","$68,750",$0,"$975,000","$1,120,161"
95,Old Dominion,C-USA,Bobby Wilder,"$650,000","$650,000","$504,506","$10,000","$1,109,566","$1,500,000"
96,Alabama at Birmingham,C-USA,Bill Clark,"$630,000","$630,000","$685,000",--,"$989,750","$1,575,000"
97,Charlotte,C-USA,Brad Lambert,"$625,000","$625,000","$120,000",$0,"$1,008,500","$813,184"
98,Northern Illinois,MAC,Rod Carey,"$623,000","$623,000","$205,000","$17,500","$935,416","$952,000"
99,Nevada-Las Vegas,Mt. West,Tony Sanchez,"$600,000","$600,000","$260,000","$30,000","$1,474,532","$1,250,000"
100,San Jose State,Mt. West,Brent Brennan,"$581,916","$581,916","$210,000",--,"$1,278,036","$2,036,706"
101,South Alabama,Sun Belt,Joey Jones,"$535,260","$565,260","$183,869","$42,704","$1,090,906","$164,420"
102,Georgia State,Sun Belt,Shawn Elliott,"$565,000","$565,000","$220,000",--,"$1,150,949","$1,500,000"
103,Central Michigan,MAC,John Bonamego,"$545,640","$545,640","$330,000","$35,500","$911,329","$400,000"
104,Georgia Southern,Sun Belt,Tyson Summers,"$530,000","$530,000","$292,500",$0,"$1,007,500",--
105,Ohio,MAC,Frank Solich,"$522,715","$522,715","$331,930","$35,386","$971,640","$296,167"
106,Miami (Ohio),MAC,Chuck Martin,"$522,300","$522,300","$548,162","$51,643","$974,000","$609,350"
107,Texas-El Paso,C-USA,Sean Kugler,"$515,332","$515,332","$493,776","$24,611","$1,199,860",--
108,Southern Mississippi,C-USA,Jay Hopson,"$500,000","$500,000","$867,500","$15,000","$820,000","$1,041,667"
109,Massachusetts,Ind.,Mark Whipple,"$472,654","$472,904","$255,000",$0,"$897,089","$304,903"
110,Nevada,Mt. West,Jay Norvell,"$450,000","$450,000","$210,000",--,"$1,524,605","$1,000,000"
111,Idaho,Sun Belt,Paul Petrino,"$446,214","$446,214","$225,000","$70,000","$789,402","$1,314,160"
112,Eastern Michigan,MAC,Chris Creighton,"$442,420","$442,420","$395,000","$35,000","$904,264","$950,000"
113,Ball State,MAC,Mike Neu,"$431,375","$436,375","$370,000",$0,"$961,125","$1,401,969"
114,Bowling Green,MAC,Mike Jinks,"$428,655","$428,655","$245,000","$25,000","$850,784","$1,285,965"
115,Kent State,MAC,Paul Haynes,"$414,030","$414,030","$173,000","$1,000","$711,904","$168,600"
116,Akron,MAC,Terry Bowden,"$411,000","$412,500","$225,000","$5,000","$919,220","$994,500"
117,Buffalo,MAC,Lance Leipold,"$405,500","$405,500","$380,000",$0,"$909,040","$787,792"
